method,dataset,accuracy_pearson,mae,runtime_seconds,surrogate_r2
exact_shap,friedman1,1.0,0.0,0.09179350000340492,
kernelshap,friedman1,0.9972204489499918,0.07202799324920633,0.953822899988154,
original_instashap,friedman1,0.9285386939539317,0.2918239896115249,0.0065596000058576465,0.9195310862373406
interaction_aware_instashap,friedman1,0.9224904255879335,0.3143991893729599,0.013083900004858151,0.9472682930625635
