Method,Accuracy,Log Loss,F1 Score,Expl. MSE,Expl. MAE,Expl. Spearman,Explain Time (s)
Black-Box MLP,0.7353333333333333,0.5991944087553874,0.727949459693359,,,,
Baseline InstaSHAP (Zero-Mask),0.6951666666666667,0.7118043564610343,0.6805035638961711,0.17040343582630157,0.311652272939682,0.6448964478241167,0.00821828842163086
Improvement 1 (BG-Mask),0.6911666666666667,0.7227742340829192,0.6766629574754962,0.23061233758926392,0.33255064487457275,0.6703113894194788,0.007824897766113281
Improvement 2 (Grouped+Interaction),0.689,0.7074265271149565,0.6781256288315676,0.31375885009765625,0.4216531217098236,0.495817325250581,0.01996612548828125
