21:59:56 | INFO | stage.complete | dataset="adult" mae=0.09676169604063034 mse=0.012021072208881378 stage="explanation_compare"
21:59:59 | INFO | experiment.complete | dataset="adult" metrics_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\tables\\adult_metrics.csv" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\artifacts\\adult\\adult_summary.json"
21:59:59 | INFO | dataset.ready | dataset="adult" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\artifacts\\adult\\adult_summary.json"
22:00:06 | INFO | report.ready | path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\reports\\instashap_reproducibility_report.pdf"
22:00:06 | INFO | summary.ready | path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\reports\\instashap_summary_1page.pdf"
22:00:06 | INFO | run.complete | datasets=["bike", "covertype", "adult"]
09:27:23 | INFO | run.start | config="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\config.yaml" dataset="all" fast_dev_run=true model="all"
09:27:34 | INFO | experiment.start | dataset="bike" selected_model="all" task="regression"
09:27:34 | INFO | stage.start | dataset="bike" stage="blackbox"
09:27:39 | INFO | stage.complete | dataset="bike" primary_metric=204.8466444015503 stage="blackbox"
09:27:39 | INFO | stage.start | dataset="bike" stage="gam1"
09:27:40 | INFO | stage.complete | dataset="bike" primary_metric=188.81553411483765 stage="gam1"
09:27:40 | INFO | stage.start | dataset="bike" stage="gam2"
09:27:42 | INFO | stage.complete | dataset="bike" primary_metric=187.43277788162231 stage="gam2"
09:27:42 | INFO | stage.start | dataset="bike" stage="surrogate"
09:27:43 | INFO | stage.complete | dataset="bike" stage="surrogate" training_seconds=0.8978122000116855
09:27:43 | INFO | stage.start | dataset="bike" stage="instashap"
09:27:44 | INFO | stage.complete | dataset="bike" primary_metric=203.98283004760742 stage="instashap"
09:27:44 | INFO | stage.start | dataset="bike" stage="shap"
09:28:34 | INFO | run.start | config="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\config.yaml" dataset="all" fast_dev_run=true model="all"
12:12:35 | INFO | run.start | config="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\config.yaml" dataset="all" fast_dev_run=true model="all"
12:13:06 | INFO | run.start | config="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\config.yaml" dataset="all" fast_dev_run=true model="all"
12:13:30 | INFO | experiment.start | dataset="bike" selected_model="all" task="regression"
12:13:30 | INFO | stage.start | dataset="bike" stage="blackbox"
12:13:34 | INFO | stage.complete | dataset="bike" primary_metric=204.8466444015503 stage="blackbox"
12:13:34 | INFO | stage.start | dataset="bike" stage="gam1"
12:13:35 | INFO | stage.complete | dataset="bike" primary_metric=188.81553411483765 stage="gam1"
12:13:35 | INFO | stage.start | dataset="bike" stage="gam2"
12:13:36 | INFO | stage.complete | dataset="bike" primary_metric=187.43277788162231 stage="gam2"
12:13:36 | INFO | stage.start | dataset="bike" stage="surrogate"
12:13:37 | INFO | stage.complete | dataset="bike" stage="surrogate" training_seconds=0.7038500999915414
12:13:37 | INFO | stage.start | dataset="bike" stage="instashap"
12:13:39 | INFO | stage.complete | dataset="bike" primary_metric=203.98283004760742 stage="instashap"
12:13:39 | INFO | stage.start | dataset="bike" stage="shap"
12:13:56 | INFO | stage.complete | dataset="bike" samples=32 seconds_total=16.968046800000593 stage="shap"
12:13:58 | INFO | stage.complete | dataset="bike" mae=0.54271399974823 mse=0.37136200070381165 stage="explanation_compare"
12:14:01 | INFO | experiment.complete | dataset="bike" metrics_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\tables\\bike_metrics.csv" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\artifacts\\bike\\bike_summary.json"
12:14:01 | INFO | dataset.ready | dataset="bike" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\artifacts\\bike\\bike_summary.json"
12:15:36 | INFO | experiment.start | dataset="covertype" selected_model="all" task="classification"
12:15:36 | INFO | stage.start | dataset="covertype" stage="blackbox"
12:15:37 | INFO | stage.complete | dataset="covertype" primary_metric=0.6375 stage="blackbox"
12:15:37 | INFO | stage.start | dataset="covertype" stage="gam1"
12:15:39 | INFO | stage.complete | dataset="covertype" primary_metric=0.66875 stage="gam1"
12:15:39 | INFO | stage.start | dataset="covertype" stage="gam2"
12:15:40 | INFO | stage.complete | dataset="covertype" primary_metric=0.69125 stage="gam2"
12:15:40 | INFO | stage.start | dataset="covertype" stage="surrogate"
12:15:41 | INFO | stage.complete | dataset="covertype" stage="surrogate" training_seconds=0.8632542999985162
12:15:41 | INFO | stage.start | dataset="covertype" stage="instashap"
12:15:42 | INFO | stage.complete | dataset="covertype" primary_metric=0.4875 stage="instashap"
12:15:42 | INFO | stage.start | dataset="covertype" stage="shap"
12:15:43 | INFO | stage.complete | dataset="covertype" samples=24 seconds_total=0.6570790999976452 stage="shap"
12:15:44 | INFO | stage.complete | dataset="covertype" mae=0.2917895019054413 mse=0.10968411713838577 stage="explanation_compare"
12:15:47 | INFO | experiment.complete | dataset="covertype" metrics_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\tables\\covertype_metrics.csv" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\artifacts\\covertype\\covertype_summary.json"
12:15:47 | INFO | dataset.ready | dataset="covertype" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\artifacts\\covertype\\covertype_summary.json"
12:16:05 | INFO | experiment.start | dataset="adult" selected_model="all" task="classification"
12:16:05 | INFO | stage.start | dataset="adult" stage="blackbox"
12:16:05 | INFO | stage.complete | dataset="adult" primary_metric=0.84 stage="blackbox"
12:16:05 | INFO | stage.start | dataset="adult" stage="gam1"
12:16:06 | INFO | stage.complete | dataset="adult" primary_metric=0.83625 stage="gam1"
12:16:06 | INFO | stage.start | dataset="adult" stage="surrogate"
12:16:07 | INFO | stage.complete | dataset="adult" stage="surrogate" training_seconds=0.8253594000125304
12:16:07 | INFO | stage.start | dataset="adult" stage="instashap"
12:16:09 | INFO | stage.complete | dataset="adult" primary_metric=0.84 stage="instashap"
12:16:09 | INFO | stage.start | dataset="adult" stage="shap"
12:16:09 | INFO | stage.complete | dataset="adult" samples=24 seconds_total=0.36800180000136606 stage="shap"
12:16:09 | INFO | stage.complete | dataset="adult" mae=0.09672725200653076 mse=0.012020337395370007 stage="explanation_compare"
12:16:12 | INFO | experiment.complete | dataset="adult" metrics_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\tables\\adult_metrics.csv" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\artifacts\\adult\\adult_summary.json"
12:16:12 | INFO | dataset.ready | dataset="adult" summary_path="C:\\Users\\RAVIPRAKASH\\Downloads\\X_AI-Project\\instashap_project\\results\\artifacts\\adult\\adult_summary.json"
12:16:12 | INFO | run.complete | datasets=["bike", "covertype", "adult"]
