model,seed_mean,seed_std,training_seconds_mean,training_seconds_std,inference_seconds_mean_mean,inference_seconds_mean_std,explanation_seconds_total_mean,explanation_seconds_total_std,samples_mean,samples_std
blackbox,730.3333333333334,1122.8109072026925,76.33413616666803,8.048722744466435,0.0017855999971895166,0.0003687414723526115,,,12000.0,0.0
gam1,730.3333333333334,1122.8109072026925,273.56640846666414,53.26129262835508,0.00898071332873466,0.0014497641335827005,,,12000.0,0.0
gam2,730.3333333333334,1122.8109072026925,316.4944565000187,136.72897329035507,0.011398340003021682,0.002581479436771079,,,12000.0,0.0
instashap_bg,730.3333333333334,1004.2726057533714,420.4038949666622,491.94645075552376,0.012081680006425207,0.0038554973765763828,0.01207760000640216,0.003620252007233963,6012.0,6559.525348681869
instashap_zero,730.3333333333334,1004.2726057533714,233.80531464999754,259.7441537779273,0.010675926667560514,0.0032453465984051116,0.009984133328543976,0.0026271707771747155,6012.0,6559.525348681869
permutation_shap,730.3333333333334,1122.8109072026925,0.0,0.0,,,9.24706540000625,13.803124600744145,24.0,0.0
surrogate_bg,730.3333333333334,1122.8109072026925,269.55631173333194,36.63755963896683,,,,,42000.0,0.0
surrogate_zero,730.3333333333334,1122.8109072026925,134.0903542666541,18.828462097844735,,,,,42000.0,0.0
