seed,model,accuracy,log_loss
42,blackbox,0.705625,0.7276048961309743
42,gam1,0.706875,0.7402040166793006
42,gam2,0.713125,0.6956690406291974
42,instashap_zero,0.57,0.913594434587557
42,instashap_bg,0.595625,0.9317374335782651
123,blackbox,0.67125,0.784717686334504
123,gam1,0.678125,0.7733835470613066
123,gam2,0.6875,0.741927900125122
123,instashap_zero,0.61125,0.9486723748451444
123,instashap_bg,0.61375,0.9293925106916363
2026,blackbox,0.705625,0.7265637732168088
2026,gam1,0.708125,0.7266181594328057
2026,gam2,0.71625,0.6994490297973749
2026,instashap_zero,0.648125,0.9311865497279571
2026,instashap_bg,0.63125,0.9455970103034176
