seed,model,masking_strategy,mse,mae
42,surrogate_zero,zero_mask,0.1455371230840683,0.26345571875572205
42,surrogate_bg,empirical_background,0.1537584811449051,0.28399908542633057
123,surrogate_zero,zero_mask,0.21517369151115417,0.3104483187198639
123,surrogate_bg,empirical_background,0.19944165647029877,0.31921622157096863
2026,surrogate_zero,zero_mask,0.24544651806354523,0.3382920026779175
2026,surrogate_bg,empirical_background,0.2517479658126831,0.3550778925418854
