model,seed_mean,seed_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std
blackbox,730.3333333333334,1122.8109072026925,0.7734722222222222,0.005679723519614294,0.5244841690062322,0.00701498138607956
gam1,730.3333333333334,1122.8109072026925,0.7186111111111111,0.0038236592905710447,0.6372710267483341,0.006374780105971503
gam2,730.3333333333334,1122.8109072026925,0.7216388888888888,0.0048650777467046736,0.632873239170213,0.007916899778348025
instashap_bg,730.3333333333334,1122.8109072026925,0.6773888888888888,0.005875049251172584,0.816755637961473,0.032364526936607275
instashap_zero,730.3333333333334,1122.8109072026925,0.68425,0.009289704576094506,0.7814636145136568,0.04151134010444068
