seed,model,mse,mae,spearman
42,instashap_zero,0.20434309542179108,0.3183743953704834,0.5967897042031252
42,instashap_bg,0.36088454723358154,0.3339870870113373,0.5837882116565082
123,instashap_zero,0.46763476729393005,0.45152977108955383,0.4844897095363042
123,instashap_bg,0.7799826860427856,0.5021371245384216,0.5778693963989321
2026,instashap_zero,0.20412971079349518,0.3074834942817688,0.613796573570857
2026,instashap_bg,0.33620205521583557,0.30243727564811707,0.5889186397991195
