dataset,model_type,train_samples,test_samples,variant,interactions,mse,mae,rmse,r2,mape,pearson_correlation,spearman_correlation,top_k_overlap_ratio,ranking_correlation,exact_time_seconds,surrogate_time_seconds,speedup_factor
california_housing,random_forest,120,80,baseline_additive,0,0.009544756055661192,0.05724884382166082,0.09769726739096234,0.8746065876912132,129.44310790218995,0.9353885761868841,0.8834588524386048,0.8,1.0,0.9502315521240234,0.0007853507995605469,1209.9453551912568
california_housing,random_forest,120,80,improved_interaction_aware,4,0.007539504588812446,0.05186956665897371,0.08683032067666482,0.9009504064854323,142.26814300766395,0.9492677484182912,0.8985383112507601,0.8,1.0,0.9502315521240234,0.002223491668701172,427.3600686253485
