feature,mse,mae,r2,correlation
MedInc,0.5034901791987374,0.5552518532018871,-0.024974314575910483,-0.005530224829189325
HouseAge,0.017012967413900137,0.08743423799254364,-0.01535593662919199,-0.04007565855905905
AveRooms,0.003998241253350535,0.045436041005960444,-0.0014913354474506146,0.03218162386280194
AveBedrms,0.0010019597092312887,0.020646794180612944,-0.01574223798644958,-0.04444951052218936
Population,0.0006750363183680057,0.012277643777362747,-0.006723879079180151,-0.01736854887362613
AveOccup,0.0926507118353435,0.23130168923815816,-0.00261862432109794,0.011365620699219913
Latitude,0.0759331004809346,0.2318018827630642,-0.003754756002746218,-0.011214196504186348
Longitude,0.047802966753626316,0.1554759887870482,-0.013983359475530976,0.004031693724737766
