model,rmse,mse,r2,nmse_pct,training_seconds,inference_seconds_mean
blackbox,265.34218767941894,70406.4765625,-1.048466444015503,204.8466444015503,4.3115999000146985,0.0006107000051997602
gam1,254.7479759487796,64896.53125,-0.8881553411483765,188.81553411483765,1.0595273000071757,0.004126119997818023
gam2,253.8134618917996,64421.2734375,-0.8743277788162231,187.43277788162231,1.0933974000217859,0.0038586600101552905
instashap,264.7821333190742,70109.578125,-1.0398283004760742,203.98283004760742,1.6622003000229597,0.003932240005815402
