model,accuracy,log_loss,training_seconds,inference_seconds_mean
blackbox,0.6375,0.9930540651433684,1.1561760999902617,0.0007608600019011647
gam1,0.66875,0.8895021876116124,1.5849708000023384,0.016915380000136794
gam2,0.69125,0.8041219864980667,1.1547640999779105,0.0038481199997477235
instashap,0.4875,1.3345100480607102,1.4339313999807928,0.0069827799976337705
