model,accuracy,log_loss,training_seconds,inference_seconds_mean
blackbox,0.84,0.3684594425696772,0.35746410000137985,0.001241719990503043
gam1,0.83625,0.37500743204852965,1.2257456999795977,0.0041786399960983545
instashap,0.84,0.4234717432963773,1.4873808000120334,0.004640380007913336
